[5, "@jessdelight I just played ur joint two s ago. Everyone in studio was feeling it!\n"]
[19, "i just got in the mood for a sad ... Boooo! two thumbs down\n"]
[20, "i just got  a lullaby by none other than thee infamous matthew. xD i still can't sleep but thanks for the effort.\n"]
[29, "just The River by Garth Brooks it always makes the day better hearing that ........I think the words are sooooo true\n"]
[30, "Miley's climb  just came on n the kid next to me singing it alound!  And her granny started singing it toooo!  Help help!\n"]
[79, "#musicmonday this  is just epic win!  \u00e2\u2122\u00ab http://blip.fm/~7f4ec\n"]
[89, "&quot;And it's 2 am and I'm cursing your name...&quot;  And that's literal right now. Not just  lyrics.   sfshkfhskjfhksdjfh\n"]
[105, "&quot;and you never ever let me in&quot; woooah i just love that  KELSEY by metro station\n"]
[193, "--&gt; @katyperry in June (28) in Portugal!! I don't know... should I go? Or is just another catching ?!?\n"]
[205, "*yawns* Im tired but im not. School just ended yesterday and now i get to record my  that im writing right now on my computer.\n"]
[215, "\"&quot;Raindy Day&quot; and &quot;Portrait&quot; are my last s! WHOO!!!!!!! YAY ME! They just need finished. Off to taco bell\n"]
[236, ".i just bought a sara barelilles album yesterday.  yaaay~ she's so good at singing. me love her s. :3 [still finishing a fic]\n"]
[243, "@ ladygaga  I just adore u..I love ur clothes ur style ur s!!.. u r like my role model  just heard fashion gr8t\n"]
[249, "...Brighten has 6 s done. I just screamed\n"]
[250, "...fly away  new  i'm working on. about feeling hopeless in a relationship. you just want it to end because you don't know what to do\n"]
[259, ":'( sad japanese  ehe ehe ehe (crying sound) loveless why are you attacking me  drama anime are just awesome! old animes are awesome!\n"]
[271, "@_kellylovee aww love that . Makes me wanna watch a walk to remember. Was just watching j&amp;k+8 but TV is not in my bedroom anymore\n"]
[295, "@1041pm that  means so much to me. Every time I tell someone though they just focus of the prostitute thing\n"]
[298, "@15mab Tnx I'm glad u like the cover  I just uploaded my new  &quot;De Ti&quot; let me know what u think http://bit.ly/fYy2U ....love Dalila\n"]
[301, "@13twelve I have no idea who @guylet and DrT are. I just hate that drrty girls drrty bois ! Its overplayed and overrated!\n"]
[332, "\"@Afinefrenzy just woke up\n"]
[391, "@alessiarawr haha love that   the jo bros are just amazing\n"]
[418, "\"@alls I just did a wake&amp;bake and put on Phish's show from 2 nights ago. haven't done it in a long time\n"]
[431, "\"@almstawritr http://twitpic.com/5nv09 - OMG!!!! I just saw this right now\n"]
[447, "@Ambershine29 but it's 3am. i just need to listen a  that always makes me fall asleep before it's even finished. help\n"]
[468, "@angelonfire I just replied to your email with the direct link to Jamia's  and the youtube video\n"]
[490, "\"@apolloschild Aww. Well not to worry. I'm sure you both will work out just fine  You should sing her your s\n"]
[507, "@Aaron8921 u just say it was fun cause i passed the  that often\n"]
[523, "@CuzImSOOOCool - I haven't been watching  lately every since The Bulls lost.  I just hope The Leakers aren't winning though.\n"]
[535, "@CuzImSOOOCool - I haven't been watching  lately every since The Bulls lost.  I just hope The Lakers aren't winning.\n"]
[551, "\"@KDanai nuthin LoL I just dnt like  so when every1 on twitter and fb talk about it\n"]
[559, "\"@mahogany20 shoot just school work and . Hoops is finally done tho\n"]
[569, "@Paigey_ omggg i said that once  stop lol i just said it cuz i beat u in\n"]
[570, "@seigrist lol fruit basket turnover scares me!! ya'll should go play ! just saying sounds fun\n"]
[574, "@taracraig you can make them yourself.  just find the shoe box for your  sneaks.  it should taste exactly the same\n"]
[582, "AASU  camp was just canceled.\n"]
[630, "@brittanydays we just can't get enough of Kyle LOL. He's playing in the charity  game tonight. Can't wait to see pics\n"]
[641, "\"@ChrisReg hahahaha!! I just remembered.. I washed u in\n"]
[666, "Goin home....  back to no beach just hot weather  practice and my mean ol coach... ydig\n"]
[689, "I just woke up and it's crappy Sunday ;( I have to study and play some  but WEATHER SUX\n"]
[709, "i just lost at ..\n"]
[737, "Jacee just chose watching  with me over ice cream.......my princess\n"]
[741, "just changed my default pic to a Nike  cause bball is awesome!!!!!\n"]
[747, "just got home from playing . miss playing it on a daily basis\n"]
[751, "just played three hours of . We won 5 out of 7 games. Kick Ass! Gonna wait for Humbies smart ass reply now!\n"]
[759, "just about to go to\n"]
[760, "just died at ... about to go die some more at batting practice...\n"]
[768, "Mckay just got cracked in the nose with the  and now her nose is bleeding.  this would never happen in Bakersfield\n"]
[771, "just lost   but won school soccer yay!!!\n"]
[779, "@lunaticsummer Sorry.. I just replied now.. Just came home from ..\n"]
[783, "just threw out his back playing .  And I'm suppose to begin my trip in 3 days.\n"]
[802, "my 2-year old just made the 1st jump shot of her would-be  career!\n"]
[807, "Morning yall. Gotta go back to work later  I wish I could just coach  for a living. I think that's my next goal to chase...\n"]
[886, "wats up in your world x) i just won a  game  best shooter on the team  idk if shooter existes lol but you understand haha\n"]
[912, "Ahh just got out the pool feels so good  we had a  /polo game lol..and now about 2 munch on some pizza  ..\n"]
[951, "just finished playing a lil  in the blazin tucson sun!  40 minutes is too much in that heat  im exhausted!\n"]
[955, "just played  for 3 hours. Now i'm going to islands.\n"]
[993, "Today was a humling day at the gym. I realized just how much  is a team sport. I was there for 4 hours shooting tho.. Good day\n"]
[1051, "just lost two followers. sniffle sniffle. oh well! time to celebrate getting into graduate  at Wichita State University!\n"]
[1053, "just got home from lll waitin for my momma to get home then goin to get @MitchelMusso's cd  &lt;3 exciteddd hahaha\n"]
[1054, "\" just up\n"]
[1096, "#kevinjonas uh oh. just made my sister mad. wont have a ride to summer  tomorrow  #kevinjonas\n"]
[1097, "$475 just to apply to my dream . just to send in an application.\n"]
[1102, "&lt;3 the end of  year private art show my son does for just the family  golden!\n"]
[1106, "were not playing them just at the\n"]
[1123, "\"#shame just had to ring 1 of the stepford wives\n"]
[1129, "(@phoebeXfairy) its a parent thing  and  dosent help either. nd my friends r usually just like...shut up phoebe.\n"]
[1138, "... just had dinner and now doing  stuff for tomorrow  pz Muse - supermassive black hole (rock)sss\n"]
[1176, "@ TraceCyrus HEY Trace! Im skipping  on June 10 just to watch your show  Cant wait to see you guys :&quot;&gt; )\n"]
[1178, "\"...day in . Now we're just gonna travel and clean\n"]
[1212, "@  in the computer room just a little bored\n"]
[1222, "@1jaredPADALECKI hey yeah u do look sexy but i like u more when u smile  anyway just wanted to ask u have you ever run out from ?\n"]
[1225, "\"@_spell I love u. &amp; I was there. You just didn't notice me in high .  I wasn't pretty enough for you. :\n"]
[1226, "@2NiteBoy dunno... just don't feel well today  but I HAVE to go to  'cause of the test :/\n"]
[1227, "\"@2NiteBoy i can't!  i'm just a 13-year old girl who's just in the 1st grade :') aight dude\n"]
[1240, "@Abbie_xD Knew you would love them!  Im actually at the law  at the mo and just printed off loads of artricles I have yet to read...\n"]
[1250, "\"@adiktusnine LOL yeahhh anything to skip   but sometimes being absent just gives us problems\n"]
[1254, "@adriwadri just remember I'll be in  the week you start and then the next week I have exams so you aren't alone in\n"]
[1257, "@AaL17 aww thats just two days after our  lets out   thats not too bad!\n"]
[1272, "@akjava  Yeah..  over.   Now just suffer through getting your butt handed 2 u in baseball all summer\n"]
[1276, "@adeezyy yes i'm ok just eh lonely!  i miss .\n"]
[1282, "\"@AdieJonas i wish i could just quit lmfao. sadly\n"]
[1289, "@alexiaaa  = shit; know the feeling bby. wish we could just all escape together right now and never have to go back.  (LLL)\n"]
[1301, "\"@alissandra thanks   right now it is just baltimore county s\n"]
[1317, "@alannahJc oh i just mean at my  we don't do it\n"]
[1338, "@ameeraaa__ ii was also at . =] haha was just reminding you in case you forgot.\n"]
[1358, "@andyagustin ive been ok. just verrry busy. i go to summer   then im off to israel. what have you been up too?\n"]
[1360, "@Anarchy9 I just took one.  got home from  finally! Gonna go to sleep soon. Gnight!\n"]
[1361, "@AndiPandi6t9 just read my latest tweet.  I have to go to  tomorrow. Wah.\n"]
[1373, "\"@Anna__007 just sitting in  and instead of doing a summary\n"]
[1406, "@astrylnaut me too  why can't  just end alrdy?\n"]
[1417, "@athensky i am so effing confused as of how the messaging works on here.  they're just gonna kick me out of  for some of this\n"]
[1419, "\"@b_club I graduated law  just a year ago\n"]
[1425, "@ayubella yup. im online!! just got back from .\n"]
[1426, "@Batrock high  didn't even have wireless!! So I'd be just a high  dropout\n"]
[1446, "@bewarethegeek i just found out one of my fav high  professors died this week. he wasn't even supposed to retire yet\n"]
[1485, "\"@BOOGZBOOGETZ I'm just workin on some homework\n"]
[1517, "\" i just want to crawl in bed with some cough drops\n"]
[1535, "just watched the  Wanted... it was pretty darn good.\n"]
[1550, "ok...seriously... this is the most depressing  ever. I wanna  just give these people a hug. this is HORRIBLE.\n"]
[1578, "&quot;He's just not that into you...&quot; &lt;3 this !\n"]
[1590, "\"#flyaldy dh just put in terminator\n"]
[1598, "#Goodpussy will have you watching that long ass Sex in the City  lolol....I think I just told on myself\n"]
[1629, "\"(sigh) just disappointed is all... we had plans to do kid-free things together (golf\n"]
[1672, "; Another friday night cancel.  probably s with just Ashley.\n"]
[1674, "... there was no joke in there btw... There is a  in it and it's not just a plastic disc I can see through\n"]
[1686, "..r  plus state of play could be kl and i just cannot wait for the holidays..gotta study for english test  but still summer soon!!!!!\n"]
[1750, "@aaronrothe http://www.watch-s-links.net/ I haven't watched a whole  on it yet because I just learned about it but try that one\n"]
[1776, "@Adrienne_Bailon I just finished watching one world i luv that   you guys r awesome !!\n"]
[1798, "@Allyeska I'm just sitting on the couch with my mates Me and Myself watching a\n"]
