[0, "we break dance not hearts by Short Stack is my ringtone.... i LOVE that !!!.....\n"]
[1, "I want to write a . I think I will.\n"]
[2, "@va_stress broke my twitter..\n"]
[3, "\" &quot;Y must people insist on talking about stupid politics on the comments of a bubblegum pop . Sorry\n"]
[4, "aww great  &quot;Picture to burn&quot;\n"]
[5, "@jessdelight I just played ur joint two s ago. Everyone in studio was feeling it!\n"]
[6, "http://img207.imageshack.us/my.php?image=wpcl10670s.jpg her s are so perfect.\n"]
[7, "cannot hear the new  due to geographic location. i am geographically undesirable. and tune-less\n"]
[8, "\" couples in public\n"]
[9, "damn wendy's commerical got that damn  in my head.\n"]
[10, "i swear to cheese &amp; crackers @zyuuup is in Detroit like every 2 months &amp; i NEVER get to see him!  i swear this blows monkeyballs!\n"]
[11, "\" getting ready for school. after i print out this\n"]
[12, "i wish paramore won for best ... boo\n"]
[13, "Hate this   ? http://blip.fm/~5jg6f\n"]
[14, "- is trying to make a  and watching ELLEN DEGENERES SHOW.....\n"]
[15, "hmm. i really like the s on the summer ep. &lt;3 nsn\n"]
[16, "I forgot how many great s this mystery band had @AnnieLicious ? http://blip.fm/~5e7qp\n"]
[17, "i hate s that will NEVER be my life.\n"]
[18, "\" listenin to trey s\n"]
[19, "i just got in the mood for a sad ... Boooo! two thumbs down\n"]
[20, "i just got  a lullaby by none other than thee infamous matthew. xD i still can't sleep but thanks for the effort.\n"]
[21, "I keep posting s here and no one ever listens (I can tell ;) ) - jeez it's tough being an unsuccessful writer!\n"]
[22, "- i loove the s of david archuleta ..\n"]
[23, "i love singing along with my baby  ....our favorite  is the best !!! ... and sex was delicious &lt;3 hahaha\n"]
[24, "nice ..http://bit.ly/iCMV2\n"]
[25, "\"- i sang early tonight\n"]
[26, "Paranoid LOOOOOOOOOVe that  @jonasbrothers Good job! AMAZING!! http://bit.ly/Qqaqp\n"]
[27, "im not sure if im up for the premiere of the\n"]
[28, "it's d-dayyy! Gonna be listening to  that head automatica  all dayyy. Too bad I'm still sick\n"]
[29, "just The River by Garth Brooks it always makes the day better hearing that ........I think the words are sooooo true\n"]
[30, "Miley's climb  just came on n the kid next to me singing it alound!  And her granny started singing it toooo!  Help help!\n"]
[31, "wrote another !! yeah!! third one this week! I'm rockin and rollin it! haha...lolz... &lt;3\n"]
[32, "# Butterfly # - Delta Goodrem! Aaah this was my favourite  when I was years younger. I miss my old house. The Australian sunsets!\n"]
[33, "\"#addictedto love s   i know\n"]
[34, "#bgt another act with a same dupe ... don't these acts have more than one\n"]
[35, "#bgt great  choice matey!! not a winner though\n"]
[36, "\"#confession Day 26 is my guilty pleasure...however\n"]
[37, "the kings of leon used to be so good. this  was not made to sound good played live. thanks for selling out\n"]
[38, "they didn't do the  I wanted. :| LOL still amaaaaazing &lt;3\n"]
[39, "\"#Eurovision UK jury scores: http://bit.ly/Mceiv. Juries know their stuff\n"]
[40, "'Through the Loop' by Pendulum starts with a heavily distorted version of Wonka's epic creepy  during the trippy boat part!\n"]
[41, "#FirstRecord Crazy by Icehouse ...still love the  and the naband to this day\n"]
[42, "- listening to all the old but reyt good s\n"]
[43, "listening to sad s\n"]
[44, "#asot400 AIR FOR LIFE... so many hours spent with this  learning how to use loops.\n"]
[45, "\"#ASOT400 I think Marcus Shultz melted some face.  I gotta admit\n"]
[46, "now I found the final &amp; right   http://bit.ly/urtkr\n"]
[47, "\"#blackkeys\n"]
[48, "#iremember learning the Big Mac  long before the Oscar Meyer . Bologna was so hard to spell.\n"]
[49, "#iremember my fav   lol\n"]
[50, "so tierd from last nights homework I stayed up till 5am .it's official I hate school More than barneys I love you  crazy right ??\n"]
[51, "#iremember the school playing that Vitamin C  on the last day every year. (as we go on..we remember..all the times we..had together)\n"]
[52, "#IRemember the  of @johncmayer 'back to you' so i am now making a remix  back to you baby\n"]
[53, "#ff @MonkeyMoo2 atguably my favorite citizen of the United Kingdom  Bones by Radiohead on Grooveshark: http://tiny.com/3ant\n"]
[54, "#jonasbrothers cd is amazing!  i love all the s on there. holy crap!\n"]
[55, "\"#jonas-flywithme\n"]
[56, "#jonasnews @jonasbrothers i love them! I have a feeling WW3 is gonna be my favorite  ever!\n"]
[57, "#firstoftheday Bob Seger &quot;Turn the Page&quot;. Early morn bus driver cranking classic rock.  Hate to leave SF &amp; my sis\n"]
[58, "#musicmonday @pixies New UK number 1 with mama do!! shes amazing!!!\n"]
[59, "#musicmonday @Ryan_Leslie &quot;rescue you&quot; loves this !... such n awesome artist...very inspiring person...\n"]
[60, "#musicmonday Epic . (Y)  ? &quot;Lights and Sounds&quot; by Yellowcard ~ http://tinyurl.com/db7ppm\n"]
[61, "\"#musicmonday I &lt;3 my new ... I AM ANTHM!!  I'm gonna nap for lunch enjoy your day!!  good day sir\n"]
[62, "#musicmonday kaci-crazy possessive bahaha my theme\n"]
[63, "#musicmonday Ken Bruce is playing Mungo Jerry 'In the Summertime'. Perfect  for my day right now\n"]
[64, "#followfriday @tpr2 xx(HUGS)xx  this is your favorite  now?  ? http://bit.ly/KZ7BW.   #140smiles @operationsmile\n"]
[65, "\"#musicmonday No-one can touch us - Sing It Loud   Awesome band\n"]
[66, "#musicmonday: Hymn to mondays.  Remember old times. http://listen.grooveshark.com/#//I_Dont_Like_Mondays/1859733\n"]
[67, "#musicmondays my latest writing attempt - sorry it is low quality  http://bit.ly/13dqv5\n"]
[68, "\"#puddings Firestarter\n"]
[69, "#lastfm neighbors recommendation is crappier than ever: it is adding anyone who's ever listened to a spanish\n"]
[70, "#Lost #WFTB #s1e17 This is the last  Hurley heard before his batteries died  \u00e2\u2122\u00ab http://blip.fm/~8jlqi\n"]
[71, "#musicmonday &quot;Hurt More Later&quot; by @valemmich is my new favorite ! its now top 3 of my most played s on itunes! love it\n"]
[72, "#musicmonday Bill Withers &quot;Lovely Day&quot; \u00e2\u2122\u00ab http://twt.fm/160641 A great  to lift anyone's spirits! Enjoy\n"]
[73, "#musicmonday counting crows 'mr jones' classic summer  great to listen to in the sunshine\n"]
[74, "#musicmonday David Archuleta-Touch My Hand....very sweet\n"]
[75, "#musicmonday i see like no recommendations for Christian music so i recommend an Christian\n"]
[76, "#musicmonday love like this - natasha ft. sean kingston.. old  but i love it\n"]
[77, "#musicmonday Open Happiness is the ultimate summer\n"]
[78, "#musicmonday The Fray - How To Save A Life. The  i listen to each night before i go to sleep\n"]
[79, "#musicmonday this  is just epic win!  \u00e2\u2122\u00ab http://blip.fm/~7f4ec\n"]
[80, "#musicmonday Tommy February - &quot;Lonely in Gorgeous&quot; I missed that .\n"]
[81, "#musicmonday trouble by nevershoutnever. great !\n"]
[82, "\"#myfortoday Black and Gold\n"]
[83, "#Torch seriously cursed. #GetWellSoonJB et al\n"]
[84, "#twithelp from @ImDennisTheSex: : I'm Looking for the right   http://tinyurl.com/p3l78s\n"]
[85, "&quot; Je Te Promets &quot; by Zaho !! My favourite  in the moment\n"]
[86, "&quot;....couse love is on it's way&quot;. i like that\n"]
[87, "&quot;...she may be the beauty of the beast....&quot; \u00e2\u2122\u00a5 the . Note: I'm not Twitting. Just blipping.  \u00e2\u2122\u00ab http://blip.fm/~7jffc\n"]
[88, "\"&quot;And I know that we've still gotttttt time\n"]
[89, "&quot;And it's 2 am and I'm cursing your name...&quot;  And that's literal right now. Not just  lyrics.   sfshkfhskjfhksdjfh\n"]
[90, "This  sucks. It's like...80's Background music.\n"]
[91, "&quot;Before the Storm&quot; doesn't count because its the BEST  they've EVER done. it can't compare to any others. haha.\n"]
[92, "\"&quot;But this ain't that\n"]
[93, "\"&gt; i'm gomna do today  - making breakfast\n"]
[94, "\"&quot;come on get higher\n"]
[95, "&quot;costar&quot; is da best  day 26 evr sang\n"]
[96, "&quot;Everybodys saying he's not coming home now.&quot;---  worst  my family couldve heard in a time like this...\n"]
[97, "\"&lt;------happy camper right here....downloaded TONS of awesome 80's and 90's s....ahh\n"]
[98, "\"&quot;got the news today\n"]
[99, "\"&quot;...begging\n"]
[100, "&quot;har ghadi mujhe jiska nasha hai ek bewafaa hai&quot;  This is my  today\n"]
[101, "&quot;Here's another  for the radio!&quot;\n"]
[102, "\"&quot;Hey  Jude\n"]
[103, "\"&quot;All those other girls\n"]
[104, "\"&quot;And I\u00e2\u20ac\u2122ll be there to hold your hand\n"]
[105, "&quot;and you never ever let me in&quot; woooah i just love that  KELSEY by metro station\n"]
[106, "\"&quot;How Sweet It Is To Love Someone\n"]
[107, "&quot;i cannot believe you have this  on your iPod&quot; haha\n"]
[108, "#bgt not the best  for her\n"]
[109, "&quot;I kn0o u seen alota things in ur life...got u feeln like this cnt b right. I wnt hurt u...im down 4 u baby..&quot; i l0ove dis ..*tear\n"]
[110, "&quot;Beverley Knight has one of the best voices the U.K has to offer!!&quot; &quot;such a great feel-good . beverley is so underrated  &quot;\n"]
[111, "\"&quot;but god does it feel so good.. &quot;  ~another  that kilLs me.   omg ill kill my allergies   ~ school\n"]
[112, "&quot;But somewhere we went wrong&quot; (@ddlovato 's ) ... That happened to me\n"]
[113, "\"&quot;But somewhere we went wrong\n"]
[114, "&quot;I wanna get so close to Him that its no big change on the day that Jesus calls me name&quot; Got that  stuck in my head\n"]
[115, "#dontyouhate When girls try to get you to listen to these weak ass love s\n"]
[116, "&quot;I'm no supperman&quot; &lt;~ this  so cute\n"]
[117, "\"&quot;IM ON A BOAT! IM ON A BOAT! TAKE A GOOD HARD LOOK AT THE MOTHERFUCKIN BOAT!&quot; grrr\n"]
[118, "&quot;Can't understand? I'll slow it down for you...&quot; I'm loving a Hey Monday\n"]
