[39, "\"#Eurovision UK jury scores: http://bit.ly/Mceiv. Juries know their stuff\n"]
[88, "\"&quot;And I know that we've still gotttttt time\n"]
[203, "\"&quot;i know you want me\n"]
[241, "? w00t.. i didn't know Magnificent was U2's new single.  it is my favourite  out of no line on the hori.. http://tr.im/m4BW\n"]
[254, "...the only thing that keeps me wishing on a wishing star he's the  in the car I keep singing don't know why I do\n"]
[291, "\"@4dluvofmoney i know more dream s than you\n"]
[311, "@adairish i don't think i know any of those s.\n"]
[323, "@92Blues how do you know all these s and remember them haha\n"]
[353, "@adhaaL and that  &quot;don't you know it's the end of the world&quot; the saddest  EVER\n"]
[363, "@AlexNevamind yea i know i mean she quoted their  inseperable like 2 days ago.. and now she juss tweeted she feeling\n"]
[365, "@alexWTrugs i actually don't really know that  other than how everyone breaks into immature giggles at the beginning melody.\n"]
[441, "@amandanoyes i know right. it's depressing. haha  JK Lucas Till can't be depressing (: so about your ...\n"]
[446, "@AmberCadabra I know WHO you mean   And WHO is the one with the dirty mind?  I still play that Justin Timberlake  you posted\n"]
[461, "@angelayerxa your hat strategically dipped below one eye your scarf it was apricot...I know the  by heart. Hihi.\n"]
[474, "\"@anniething1 I dont know what you mean\n"]
[525, "@Bigfoot31 you and your  are going to become really famous someday though  you know that right?\n"]
[538, "@garyvee what do you know abt ? My friend said you know wine....) leave Coach Brown alone!!\n"]
[761, "\"It sux 2 know other moms r enjoying brunch &amp; quality time while I'm eating dinner I paid 4\n"]
[1131, "&amp; these days I'd not been doing anything related to ! my projects are unsettled. I dont even know what to do!\n"]
[1179, "@_andre1313 i know right?  is blahh.. but atleast we both have about 3 months off\n"]
[1233, "@4everaddicted haha i know xD i dont want to study for\n"]
[1251, "@510boss I know  was pushing the truth of suicidal B to no avail. Not my fault this time! She only read it cause everyone at  was.\n"]
[1289, "@alexiaaa  = shit; know the feeling bby. wish we could just all escape together right now and never have to go back.  (LLL)\n"]
[1349, "\"@Amy617 i know mee2\n"]
[1389, "@AprilLeRockStar Come visit me my Aprizzle! You need a vacation from  and work!  I know you wont. I'll  be home to visit this fall.\n"]
[1454, "@biffgriff your guesses so right!! In  i'm known as &quot;little shy girl&quot; !! glad to know you too\n"]
[1491, "\"@bubbly84 i seriously used to know it basically line for line. &quot;your  has no gymnastics team\n"]
[1507, "h dont know who to go to teh s with Sir. Lolz alot ^o^\n"]
[1562, "#Inappropriates I know How You Did Last Summer\n"]
[1606, "&quot;the uninvited&quot; is the worst attempt of a scary . It failed  if you have seen it let me know what you thought  // cool ...\n"]
[1607, "#misquotes &quot;Itz not your beauty itz your booty&quot; ..lol sad part I dont know where that came from\n"]
[1635, "&quot;Bitch I don't know your life!&quot; lmao Baby mama.. Best  next to Borat\n"]
[1753, "@AirKarinaBx23 what kind of s do you like? Just so you know im watching Knocked Up\n"]
[1789, "@Aisha__ Jeez how the hell did you know Tyler wasn't real?! I didn't know that till the end of the\n"]
[1825, "@Alyssa_Milano congrats on the !  cant wait to see it.  let us know when &amp; where it will premier when you know!  thanks\n"]
[1827, "@amandabynes  just want to let you know im a huge fan  and are you going to be in any s anytime soon? &lt;3\n"]
[1865, "@anthimeria @indigirl I'm feeling another Friday  night coming on. Let me know if either of you want company\n"]
[2050, "\"@BohoGlam Aw. &lt;3 good to know they care about you.  but if you ever still need me and a  bat\n"]
[2060, "\"@GADBaby HUGS!!! I know the feeling. DH took a nap earlier\n"]
[2078, "@jupitusphillip Do you know why 5 dropped the ? I'm absolutely gutted\n"]
[2192, "banquet was so much fuuuun&lt;3 missed mtv awards ): is it going to be on again??! please let me know  &lt;3\n"]
[143, "&quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....\n"]
[176, "@ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone.\n"]
[343, "@riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*\n"]
[496, "anyone know if Ghostbusters is region free on 360?? and where to get a US copy in Britain if it is\n"]
[556, "The hotel doesn't know where it is either... that was my favorite! How poopie is that.\n"]
[679, "....  i don't know what to do..\n"]
[705, "- @breegeek I'll know if u can't find a replacement 4me. I'll still pay u if not.  I won't let u hang\n"]
[712, "-- . You aint gotta apologize. I know I'm not ugly.\n"]
[864, "does anybody know the statistics homework *not that I have started* nobody is answering my emails about business studies...\n"]
[865, "doesn't know what to get fir a tattoo\n"]
[869, "dont know whats wrong with me\n"]
[933, "\" failed inspection. Did you know you can pass wo/oven\n"]
[943, "feeling down. reality is setting in. i know i should be beyond this point. why am i still here? i want to follow my dreams but im scared\n"]
[968, "\" @thesmartmama I have no office. I know this is hard to believe\n"]
[1061, "11:11. I know what I'm wishing for!\n"]
[1102, "h dont know who to go to teh movies with Sir. Lolz alot ^o^\n"]
[1188, "haha. Someone i don't even know made me laugh. ryan ross = win.\n"]
[1423, "i dont know wer we went wrong\n"]
[1424, "i don't know what to put.\n"]
[1481, "blah blah blah... I'm perfect for you and you know it.\n"]
[1585, "I is to drunk to know if in a partht or what nor\n"]
[1669, "Demi lovato is comming to london so is miley YAY! you lot will see me there trustttt mee still want to know what time itunes gig starts\n"]
[1686, "I know I know\n"]
[1687, "i know it could've been a lot worse. But a broken ankle is still enough to worry me.\n"]
[1800, "does any1 know wut time its sposed to rain?\n"]
[1801, "Does anyone know how to treat a bug bite on a dog?\n"]
[1802, "does neone know what is the exact procedure of getting a DS 2019 issued ..and whether it costs for a summer intern ?\n"]
[1804, "Doesn't know what to eat! What would you eat on very sensitive stomach after being sick?\n"]
[1809, "dont know how im goin to go on. i cannot sleep. i keep thinking of her...\n"]
[1810, "don't know why I bother\n"]
[1844, "i totally know how you feel\n"]
