[33, "\"#addictedto love s   i know\n"]
[50, "so tierd from last nights homework I stayed up till 5am .it's official I hate school More than barneys I love you  crazy right ??\n"]
[54, "#jonasbrothers cd is amazing!  i love all the s on there. holy crap!\n"]
[56, "#jonasnews @jonasbrothers i love them! I have a feeling WW3 is gonna be my favorite  ever!\n"]
[71, "#musicmonday &quot;Hurt More Later&quot; by @valemmich is my new favorite ! its now top 3 of my most played s on itunes! love it\n"]
[115, "#dontyouhate When girls try to get you to listen to these weak ass love s\n"]
[151, "&quot;My Everything&quot; by Cathy Nguyen and Randolph Permejo (Youtube peeps) has been stuck in my head since yesterday! love that .\n"]
[156, "#haveyouever   I love that  by S-Club...'Have You Ever'.\n"]
[170, "\"&quot;this  is for every broken heart...&quot; i love you Nick\n"]
[174, "#musicmonday is for hey monday. LOL  love thier s!\n"]
[178, "#musicmonday Right Round by Flo Rida  I love this  &lt;3 \u00e2\u2122\u00ab http://blip.fm/~7f5hd\n"]
[188, "#wardytrip gotta love the in ear headphones. Some pricks have shite music blaring out on a crap speaker. Only hear snippets 'tween s\n"]
[190, "*energy* by @misskeribaby is stuck in my head - love the  tho\n"]
[211, "&quot;Lucky I'm in love with my bestfriend . . .&quot; Good !  Still driving to SF!\n"]
[219, "........ Lala.. Little girl! I love these new s!  @HiPPiEHO I\u00ef\u00bf\u00bdve answered u ^^ Love to all you freaky twitter guys ;D\n"]
[281, "@115 yes ill be ur sis i love  u that way to\n"]
[284, "@_cupcake why are you not seeing Eminem tonight?!  boo! i love workin' out to some of his s... haha! rawr!\n"]
[310, "@4everBrandy B. ROCKA!! WHO THE BLEEPITY BLEEP IS RAPPING IN &quot;GONNA FIND MY LOVE&quot;? Is it you girl?? love the  btw its mah ringrone\n"]
[317, "@3T_michaeljfans I love this !!! TLC is one of my favourite groups\n"]
[322, "@4realashtont Dats wats up. Hes a great guy n dat  go hard. Thanx 4 da love homie\n"]
[327, "@933flz should totally play untouched by the veronicas! i love that .\n"]
[342, "@ajrafael I love that .\n"]
[357, "@AlexAllTimeLow please announce when the new  will be available on iTunes! thanks  - love it!\n"]
[360, "@Adrienne_Bailon I have never heard that  but i love it  now cuz its soo true\n"]
[378, "@allthatJ4ZZ i love that  what can i say\n"]
[379, "@allyeatscat I love that\n"]
[393, "@AlexAllTimeLow I love the new\n"]
[400, "@Alesha_Dixon I so love your s and I wish I could meet you xxxxxxx!\n"]
[402, "@alexparr  Thanks for the  Kristofferson ...I love that tune\n"]
[436, "@alyankovic i love ur s!!!! i have almost all of them on my ipod!!!\n"]
[456, "@Andrewgoldstein so its 5:15am and i cant sleep so im listening to Permanent Heartbreak  im in love with this .\n"]
[464, "@angelaisawesome I love the ! Haha. @-) Lalo na yung version ng New Found Glory.\n"]
[466, "@Angelayang I love that  ! Even though she wrote it about Joe Jonas. It is still great  x\n"]
[467, "\"@Angelayang love tswifts music\n"]
[473, "@AnoopDoggDesai have u heard about the  Hometown Glory by Adele? That  helps me remember why I love my town so much.\n"]
[487, "\"@anz_rocks I love James Taylor\n"]
[493, "@aplusk ha! I love that\n"]
[498, "@arpik  love that\n"]
[516, "@brianspaeth I love .. now have to figure out what the heck to do until next season\n"]
[526, "@BigHoopDreamz i was watchin the end of love and  wen they was playin one on one\n"]
[548, "\"@HilzFuld Small reminder; you love\n"]
[782, "lebron  is it weird that i LOVE ...mmm new found love\n"]
[942, "im so mad i cant find my love and  dvd!!!!  G'NIGHT\n"]
[1042, "I'll miss this year so much. I love high . Jamal is so freaking LUCKY! He gets 2 go drinking w/ Rob! I can't even drink at all!\n"]
[1075, "\"#followfriday How about some love for the competition?  My web counterpoint at our sister\n"]
[1080, "so tierd from last nights homework I stayed up till 5am .it's official I hate  More than barneys I love you song crazy right ??\n"]
[1465, "@bmaynorx3 i love you too! I will be  you too driving to and from  darlin! I'll be home thurs\n"]
[1586, "#favquote &quot;Ain't nobody's business but ours&quot; - Brokeback Mountain  my GOD i love that ! heath ledger is amazing&lt;3\n"]
