[514, "@BenJam I'm up for  on another day. Can't do it this week though\n"]
[613, "at noon! last week of summer camp.\n"]
[733, "I'm already feeling the  withdrawl syndrome coming on. Only a a week or two left til october...\n"]
[944, "\"is having an AWESOME week  Of course every week is pretty good. Anyways...Had  camp yesterday. I'm sooo sore\n"]
[979, "Please pray for my brother. He's at  camp this week and is on his way to the hospital with an injured ankle.\n"]
[1007, "- yay for STAR testing week! I start  at 11am this week and I have no  on thursday! maybe SF... http://tumblr.com/xvq1mln1l\n"]
[1022, "excellent morning! trying to take in the fact that theres only 1 more week left of  &quot;/\n"]
[1254, "@adriwadri just remember I'll be in  the week you start and then the next week I have exams so you aren't alone in\n"]
[1278, "@adrenaline__ In the Czech Republic until next week  ....But I'm not going to  next week\n"]
[2479, "@MikeWoodsFox5 i guess my boys aren't playin  this week\n"]
[400, "1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb\n"]
[647, "- yay for STAR testing week! I start school at 11am this week and I have no school on thursday! maybe SF... http://tumblr.com/xvq1mln1l\n"]
[1064, "2 more weeks of classes and 1 week of exam blockk then HOLIDAYS!!! holland and then on to australia x\n"]
[1888, "excellent morning! trying to take in the fact that theres only 1 more week left of school &quot;/\n"]
