[672, "Goodnight y'all. Yummy food to Come tomorrow. No  for a few days\n"]
[862, "\"These are one of those days when you should go outside\n"]
[980, "relaxin at da crib watchin tv\u00e2\u20ac\u00a6 3 more days witout\n"]
[1031, "i can't believe i get sick on the first week of .. 20 more days and then i'm outta there. ugh i hope i get better soon\n"]
[1090, "\"#iremember Long hot sunny days that seem to go on forever during the big  summer hoilday. Now rain\n"]
[1112, "\"&quot;Goodmorning Darling&quot; awh I'm happy momm'ys home  LAST MONDAY AT CCS!! and 4 more days of ! Yes\n"]
[1156, "\"*Yawn* Some days I wish I am far away from . Mostly on PE days\n"]
[1180, "...les than 70 days till i am back at\n"]
[1208, "@ no more going out on  days   &lt;3\n"]
[55, "David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert.\n"]
[363, "Boston Globe could be shut down in 60 days http://sbne.ws/r/vWc\n"]
[399, "1 of me cats kittens died only 3 days old too..RIP ming.\n"]
[622, "- been up for 2 days straight. LoL. i NEVER sleep.\n"]
[699, "\"-- @anyamanda said I tweets less these days so\n"]
[977, "= next few days\n"]
[981, "2 days I haven't tlkd 2 mi amor..im kinda stubborn when it comes 2 my bf..I will NOT call..not a bugaboo type\n"]
[986, "first days are always good..wish my dentist gave me more hours though\n"]
[1062, "- 155 days until the JB'concert in Milan!!!!I'm guarding my tickets\n"]
[1063, "\" 2 days of this month left\n"]
[1066, "21 days of no twittering and i'm back. -.- i think.\n"]
[1157, "- a bit depressed after checking the local weather forecast - 9 out of the next 10 days are forecasted to be rainy. The tenth is cloudy.\n"]
[1255, "at tegus x 2 days only\n"]
[1752, "enjoying my last days of summer &gt;sigh&lt;\n"]
[1783, "David must be hospitalized for five days end of July (palatine tonsils).\n"]
[1948, "girls are so mean now a days damn\n"]
