[4, "aww great  &quot;Picture to burn&quot;\n"]
[16, "I forgot how many great s this mystery band had @AnnieLicious ? http://blip.fm/~5e7qp\n"]
[35, "#bgt great  choice matey!! not a winner though\n"]
[72, "#musicmonday Bill Withers &quot;Lovely Day&quot; \u00e2\u2122\u00ab http://twt.fm/160641 A great  to lift anyone's spirits! Enjoy\n"]
[73, "#musicmonday counting crows 'mr jones' classic summer  great to listen to in the sunshine\n"]
[81, "#musicmonday trouble by nevershoutnever. great !\n"]
[110, "&quot;Beverley Knight has one of the best voices the U.K has to offer!!&quot; &quot;such a great feel-good . beverley is so underrated  &quot;\n"]
[126, "\"&quot;God is great\n"]
[210, "&quot;Like A Rolling Stone&quot;: what a great . Putting it on ele's trip playlist; hope she doesn't take it personally.\n"]
[345, "@acummings and what great publicity for the\n"]
[354, "@aleskywalker yes its a great   !! #BSB\n"]
[371, "@AimeeProal i read that on facebook. wish i could see it.  its a great\n"]
[382, "@allyouhave great . I'm sorry though.\n"]
[406, "@algonacchick  Oh thats a great !\n"]
[483, "@APES &quot;If I Were A Boy&quot; is such a great . I also sing &quot;Halo&quot; by beyonce. Nice din.\n"]
[744, "Just got a great workout from . Some little punk 10 year olds kicked us off the court though\n"]
[746, "Just got done playin an intense game of . I won! Lol. Now watchin I-carly.  hope everyone had a great day!   Kay~Kay &lt;3\n"]
[1006, "besides that great graduation day. I finaly made it I'm a high graduate ! Moms word .. Chapter close .. Keep pushing foward.\n"]
[1209, "@_Tonii yeeeeeeeeeeeah contdown  I'm soo happy! &lt;3 Today: 2nd concert! hope it will be as great as tomorrow! ciao\n"]
[1270, "@AK618 what about berkeley?? Cal is a great  and close to SF  what's wrong with sfsu?  what's de anza?\n"]
[1422, "@aussiecynic is it? why? well then indonesian  could be a great place for me at this point\n"]
[1569, "#startrek great\n"]
[1574, "\"\"\" Brokeback Mountain \"\" is a great short story and explains more\n"]
[1643, "&quot;lifes a climb but the view is great &quot; my fave quote from the hannah montana\n"]
[1721, "@aarongillespie Up was a great\n"]
[1778, "@AlexTrup : Yip Man is great  indeed! Fortunately its the 1st episode ! Unfortunately the 2nd one is scheduled in 2011\n"]
[1838, "@amybabydd I'm about to be great soon cause I get off work in a little bit. Did you see the new zack efron ?\n"]
[1892, "@aplusk hey... i just watched your  &quot;butterfly effect&quot; i think it\u00ef\u00bf\u00bds great and a little bit weird\n"]
[1931, "@Atefeh_ I'm sad that community is so srs. I wanna flail over Krugman being snarky at bloggers and quoting great s and making salad\n"]
[1951, "\"@babybang Ewan McGregor is a great actor\n"]
[1962, "@babygirlparis You was great at MTV  awards!!\n"]
[1967, "\"@banditray great\n"]
[2029, "\"@bansexoffenders Have a great weekend sis. Watching Drew play\n"]
[36, "\"   SOX!     Floyd was great\n"]
[81, "I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather\n"]
[181, "\" @adbert: &quot;#Video [Woody Woodpecker \u00e2\u20ac\u201c The Barber of Seville] I am great\n"]
[599, "aww great song &quot;Picture to burn&quot;\n"]
[625, "besides that great graduation day. I finaly made it I'm a highschool graduate ! Moms word .. Chapter close .. Keep pushing foward.\n"]
[1086, "great  just fucking great\n"]
[1089, "great my dad locked himself out of his car n its on... N we are 5 hours from home\n"]
[1090, "great nite\n"]
[1092, "\" great\n"]
[1332, "am suddenly v. v. sad and tired. :\\ also - can anyone think of great hero anthems? counterpart to heroine's: http://snurl.com/kixxt\n"]
[1580, "i hope everyone has a great day!\n"]
[1584, "I hope you find a great trousers\n"]
[1979, "\" I'm about to turn down a great job offer in LA. Raise\n"]
