[325, "@87sal87 Somehow that  really works  Oh and Sandy loves yogurt\n"]
[330, "@A_sourgirl It's ok *sniff* I almost cried during that  but I managed to hold it in somehow. Poor Robin looked really really sick\n"]
[398, "@AlexAllTimeLow the clips of your new s really make me smile\n"]
[715, "I really wanna play\n"]
[930, "fucking in pain while I sleep twisted my ankle really bad  playing  at stewart park ova south! damnn. tweet me bored.\n"]
[1025, "gonna volunteer at madres  again -still trying to calculate how many friends i really have.\n"]
[1047, "really really sad! one of my best friend's left  today! i'll be seeing him in the summer holidays though\n"]
[1169, "; i hope mcfly come to canada ! i really do it would make my world - well guess i should get ready for\n"]
[1244, "@3fingaz i get my twins up at 6:30 for ...then once they gone i gotta start my work...i really have a shit load to do 2morrow\n"]
[1280, "@Addctd2candy ooh yall went to vegas  im really sad i coulda left  lol\n"]
[1407, "@ashleno @RylandWebb  i really wanna go... but i needa save money for ies + formal\n"]
[1482, "\"@bobbyllew I really enjoyed latin\n"]
[1645, "&quot;New Moon&quot; trailer has me really excited it looks so much better than the first ! smooth special effects\n"]
[1813, "\"@amandabynes i really liked it! i'm ur #1 fan i loved all of ur s! especially 'she's the man'\n"]
[1826, "@AlyssaCasertano really good  i saw it it was kind of sad tho\n"]
[1949, "@atthestv i really want to see moon but it's out NO WHERE near me.  same with whatever works.  and year one SUCKED!\n"]
[2384, "I'm really sad  I'm helping my little brother pack to go to Alaska for the summer (for )\n"]
[46, "@Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now\n"]
[267, "\"   kinda but not really\n"]
[392, "@warbo is off clubbing... must come over to sheffield sometime &amp; party but really probably shouldn't atm. a tech conference is a conf etc\n"]
[479, "already getting sleepy...I really want to get my psych quizzes done tonight...\n"]
[544, "myspace peOplE  can get really angry if I don't answer them right away... JA!\n"]
[683, ".........not really a good night guys ! buu huu\n"]
[754, "@dustincary yea I really wanna see a win for him at daytona\n"]
[970, "@tommcfly hi when ur back &amp; when ur next in mk i am gona need 1 of your really good hugs that only you and my friend liam can give ok.\n"]
[990, "found a mosquito bite.  (Those tend to get really swollen and red for me)  Distracting myself with caffeine\n"]
[1425, "i don't know why but i'm really sad and worried at the moment.\n"]
[1444, "i feel really alone.\n"]
[1469, "Be careful... white at a BBQ is a high risk. But the dress is really awesome! http://lookbook.nu/look/154056\n"]
[1516, "can't believe the jumpers are gone...i'm really depressed now.\n"]
[1823, "I really hope Peter Facinelli wins his bet......\n"]
[1824, "I really wanna go home. I HATE working late!\n"]
