[135, "\"&quot;I brough down the sky for you but all you did was shrug\n"]
[350, "@AdamLeber Who is Gary? Why did Britney dedicate a  to him? People are starting rumors.\n"]
[438, "@anabellacullen Oh Of course!  The only new  they had was &quot;Headlines&quot; i liked it  i think they did go on tour?\n"]
[480, "@alirace12 did you made a twitter instead of writing your paper?  i think you did..\n"]
[489, "@aplusk wow...  these kids ARE amazing!  did u see all the s they have sung? they are truly a talented bunch!\n"]
[693, "@imanorexic Hiiiiiiii  Why did you USED to like ??? You should watch with us\n"]
[824, "\"Oh &amp; did I mention my boy lost 2nite =( oh well\n"]
[1014, "Back to  on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess\n"]
[1149, "(heartache.) I only did two things in terms of  work. Otherwise everything was dealing with cosplay and overseas business.\n"]
[1218, "@__cinnamon__ hey! haahaha  tomorrow thank god its frida i heea miss wetherall did the cat today  oh im sad i missed it haha\n"]
[1294, "@AfterSchCraze heyyy i was wondering where did you find the article about after  getting a new member again..??\n"]
[1295, "@AliaIsahak -.-' NO FAIR! haha. which  did you transfer to? :S why did you anyways?\n"]
[1327, "@AliceCullen4 Yay!! hunting what did you catch?? I like france (: IRL. That sucks  my sister is sick too &gt;.&lt; real bad! i had  &gt;.&lt;\n"]
[1440, "@Bendaying I did have lots of fun but the fact that I have  tomorrow is entirely for the purpose of erasing the goodness.\n"]
[1443, "@bethdonald I'm at  still.  How did your diet go? I had a nectarine and some lettuce. (y)\n"]
[1681, "@[Nitin_Santosh] man which s did u watch?..in Blore its fu*kin sh*t..no s on d run!\n"]
[1739, "@6morningnews I had to work and did not make the .\n"]
[1854, "\"@AngelG76 new Disney Pixar  - same ppl that did Finding Nemo and Monsters\n"]
[1910, "@Alyssa_Milano did you see the new Star Trek ? also sorry to say that the Phillies won 7-2\n"]
[1936, "@ashleytisdale heey! you did an awesome job in 'picture this' loved the e!\n"]
[2139, "@SprinkleUWitLuv Oh did I mention we had a  game this morning. I do this to myself ALL the time.  I need a great big coffee! LOL!\n"]
[2146, "\"@vojha this i did the  package on comcast last year\n"]
[373, "i am soooo sad...at this point of night i'd be cuddling with jonathan like i did for 4 years\n"]
[684, "...I did not get cast in but I will keep looking for some dance opportunities.  I need some exercise.\n"]
[780, "@moogyboobles AHHHHHH - bloody Five. Why did they give away House (and me the Sky subscription)?\n"]
[827, "\" come to manchester while your in england  id love to meet you  did you have fun in germany? its beautiful\n"]
[853, "did not get to go see UP!! Oh well ended up going to dinner with Blase and Bridget!\n"]
[855, "\" Didn't get to do some car scheming tonight. sad. but i did get to mosh while looking like a complete bogan\n"]
[984, "\" 2nd item did not arrive\n"]
[1042, "@saharabloom got off lazy bum and did Chalean burn intervals. I turned a fascinating shade of puce. Wondered where all the oxygen went .\n"]
[1111, "haha I really did and I'm about to call music unlimited tomorrow for  Simon..tryin to be like ROD ;)\n"]
[1226, "hee hee. your so weird. and i did NOT shiver.\n"]
[1256, "- at the apple store again today because Jonathan did not wake up early and now needs his phone.\n"]
[1268, "aww i already did\n"]
[1277, "Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess\n"]
[1326, "\" I did not get to see Beth\n"]
[1672, "did God give up on us?!\n"]
[1674, "did you guys hear about the airplane crash? Scary.\n"]
[1678, "didn't get an award but i did get recognized by all the seniors. They said that they are going to watch the plays because of me\n"]
