[381, "@allymisslove I luv that ! I had to bump it as soon as I saw ur tweet!\n"]
[431, "\"@almstawritr http://twitpic.com/5nv09 - OMG!!!! I just saw this right now\n"]
[699, "I saw kelley on here lawn with a   Lolololol\n"]
[1565, "#KevinJonas I saw your  yesterday\n"]
[1810, "@alexov17 I havent saw the  yet. my mom say we saw ant very shortly.\n"]
[1829, "@AmberHenderson we saw Night at the Museum... We really liked it. I cant wait for the Harry Potter  myself... I am a dork\n"]
[1847, "@andywomyn I saw it in non-3D  I bet it would freak out the 6yo still. There's lots of wildlife in the .\n"]
[1909, "@Artimus_Prime  so u saw the  with out me\n"]
[1948, "\"@azstar165 Good !  I never was a Narnia fan until I saw the 1st one\n"]
[1968, "@beanie612 i just saw your message  Im sorry - def  night ASAP!!!!\n"]
[1994, "\"@beverlykidd I saw the  Wolverine\n"]
[1996, "@bill_archie Haha. Maybe Tom saw 17 Again and decided to include Efron. Just a theory ;p Oh yup I did see it. Funny ! I enjoyed it\n"]
[186, "@CharlottegC I just saw ur mum\n"]
[528, "just saw sink into me the whole video on kerrang! ive seen it before loads but its so much better on tv!\n"]
[697, "\"- @alexjreid - saw that earlier\n"]
[1049, "@tjwriter Hubby has Briso on DVD.  I haven't seen it all yet but I enjoy it. I saw Army of Darkness and Evil Dead because of Hubs too.\n"]
[1269, "aww I just saw a decapitated baby dear on the side of the road that made me sad.\n"]
[1918, "flordia- and @stellarkartband- where do u send in the pictures of the shrits? saw ur update on facebook\n"]
