[709, "i just lost at ..\n"]
[725, "\"I'm so lost without l   Thursday\n"]
[771, "just lost   but won school soccer yay!!!\n"]
[776, "Just lost winnable  game\n"]
[792, "no  game today  i feel lost\n"]
[881, "Worst day ever! Not feeling well  brother lost his  game  my cellphone is officially dead  and I have a huge headach\n"]
[909, "won netball - 2 against 14 but lost  - 12 against 24\n"]
[917, "today! hope we win! i lost my paycheck  go figure..\n"]
[960, "lost footy and  today\n"]
[1051, "just lost two followers. sniffle sniffle. oh well! time to celebrate getting into graduate  at Wichita State University!\n"]
[1609, "#misquotes WHY SO SERIOUS!!........i lost my wife\n"]
[2041, "@_mommy phillies lost in extra innings\n"]
[2151, "@sportsfan211 nuggets and redsox both lost  im going to my  game and i am suprised its not called of i hate to wake up at 6:30 ...\n"]
[2274, "Gators lost in softball tonight.  Guess it will be another year of not watching 's evil stepsister.\n"]
[2315, "Here in Iowa for a memorial  game for a young man named Grant. His last concert was mine  Just found out today I lost a friend.\n"]
[2356, "Home lost the  game by 1 friggin' point!  Now I'm gonna scrap.\n"]
[2360, "I lost my  game 10-8\n"]
[2422, "lost our softball game  also got hurt... size knot on by calf\n"]
[2471, "nuggets and redsox both lost  im going to my  game and i am suprised its not called of i hate to wake up at 6:30 but im pitching!!\n"]
[2497, "No more   we lost in are ternament and it was a game away from semi finals but most of it was are coaches fault and they even said\n"]
[23, "&lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*\n"]
[317, "I just lost a member of my family\n"]
[860, "Dinara lost again in Roland Garros. Why the Safins have to do it hard?\n"]
[971, "\" @tweetdeck lost my groups\n"]
[994, "\" french lost\n"]
[1068, "30 lbs lost since Feb. Still have a lot more to go.\n"]
[1204, "- has obvisously just lost the game yet again...\n"]
[1534, "\" cavs lost\n"]
[1693, "I lost two kids at Youth Group tonight. No joke.\n"]
