[9, "damn wendy's commerical got that damn  in my head.\n"]
[168, "&quot;Why can't you see.. You belong with me..&quot; -Taylor Swift. hahaha. got stuck to this . I really love the music video of this !\n"]
[202, "\"&quot;I got a feeling\n"]
[235, "..i think imma start writing again.. i got some surpressed feelings that kud make some dope s im sureee\n"]
[359, "@alexd_xo ahhaha we are jokes  x omg my ipod jus died and it got stuk on a  an was jus playin 1 line over an over agen :S oopsy poopsy\n"]
[435, "@alyankovic Awesome vid/...and I guess ya got me w/that website gag. Hehe.\n"]
[454, "@andyblume #shoes i got nothing right atm..  lol\n"]
[496, "@apostlethatroks If you get it can you share w/ me too please? Only got to see 3 s\n"]
[633, "damn!!! got injured again in school because of playing ...\n"]
[637, "goin to bed jus got done playin  at downtown usf. soooooo tired!\n"]
[653, "\"Great dinner but got Kasey 2 her 1st  camp late\n"]
[658, "\"Heck yes got release on my knee and ankle\n"]
[670, "\"havent got my survey questions the market research lady was meant to send i can tanswer them if i dont have them\n"]
[716, "\"I saw magic was a trending topic and got excited\n"]
[745, "\"just got back from  at engineers hill with denden\n"]
[766, "\"Just got a new  to replace my dead one.  After today\n"]
[785, "Just won  and got a buzzer beater at the end\n"]
[952, "Just got back from  training my coach is the biggest twat\n"]
[953, "Just got back from watching my friends  game!\n"]
[1005, "and I think that's why I felt really sick and depressed in  today cuz of all the stress.. I'm glad I got that off my chest :/\n"]
[1026, "got first period for summer .\n"]
[1083, "#iremember when I gave the  a check for lunch every week.. I never got effn free lunch  lol\n"]
[1150, "(just got back from !!!) I'm so excited we have a Tweeto Twibe group page  AHHH!!\n"]
[1152, "\"// on friday i got back my 3 things\n"]
[1236, "@_rosieCAKES around here... lol eventhough i got accepted to  in troy im gunna stay in my area for now...\n"]
[1247, "@675Bar: You too. I've got to justify my art  degree somehow.\n"]
[1258, "@afreshmusic 43! I got 'd!\n"]
[1346, "@ammiisaurusrexx haha yer I didnt think he was at  today cause he  got knocked out while playing afl  and I didn't burn it soup!\n"]
