[867, "\"The things I have done since I have been home. Cut alot of grass\n"]
[899, "@TweetRamona Of all those things I only had the blister cream  Sprained finger? That reminds me of my  days....\n"]
[1184, "...with all things to catch up in\n"]
[2104, "\"@LindsayAraMiars can't believe i missed it   it's all of my favorite things combined in one: politics\n"]
[2165, "\"#flylady using things I already have\n"]
[2267, "Free drink at starbucks? Of course! Love when that happens... Off to my bros  game. Two of my fav things starbux and\n"]
[641, "\" - Well i wrote a missive post about last night and all the things that happened\n"]
[653, "- &quot;......you were asleep while i gathered my things in the dark. the burns on my fingers were all that was left of the spark...&quot; -\n"]
[731, ";( noooo! why? things are so complicated if I spelt that wrong idc\n"]
[732, ";( noooo! why? things are so complicated if I spelt thy wrong idc\n"]
[1054, "\" @Zaius13 If it weren't for unspeakable things\n"]
