[11, "\" getting ready for school. after i print out this\n"]
[1023, "\" getting ready for . after i print out this song\n"]
[1158, "\"*yawn* Tired.. getting ready for\n"]
[1164, ": getting ready to head off to .\n"]
[1190, "//surveys.polldaddy.com/s/F3C8BB4DAC58D58A/ - Poll for getting Edu-views of 1:1 laptops in s - thanks to those that have replied\n"]
[1205, "@_MisterG Well Hope at your  it's not a procession of middle-class kids getting on buses and working-class kids staying on site\n"]
[2004, "#ff sports: @BaseballFanNat @BKCyclones @blind_ @ESPNBaseball sorry for not getting around to everyone my phone is acting up\n"]
[2378, "im getting ready for another day at school....But yesterday in  i hit a homerun\n"]
[120, "waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;\n"]
[175, "@ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out\n"]
[452, "my aunties dog is getting put down  hes my dogs brother aswell\n"]
[500, "- alergic... nose itchy and eyes burning... Hope It's getting better soon....\n"]
[701, "- @benboychuk I hope it's not actually on here birthday that she's getting shots.\n"]
[728, "..sniffles... since I dont get to leave this fucking house...AW GREAT the power's gone. and its getting dark.. Puurfect!\n"]
[792, "boro let me down. It's getting very tight.\n"]
[798, "but eatting popcorn so its getting better\n"]
[1005, "getting &quot;goodbye&quot; e-mails from #Iran #iranelection\n"]
[1006, "-- getting a Mani + Pedi with the husband!\n"]
[1009, "- getting ready to watch the Sprint Cup boys try to tame the concrete Monster Mile! hopefully tires won't be too much of an issue!\n"]
[1242, "Anyone have any connections to getting SOLD OUT tix for Duran Duran at The Fillmore???!\n"]
[1641, "\" Currently getting dressed for ballet. Yes I am sitting here in a leotard\n"]
[1685, "I keep getting errors on iPhone and it saves okay online but I see nothing\n"]
[1943, "\" getting ready for school. after i print out this song\n"]
[1944, "getting ready for work ....  def should have stayed in last night\n"]
[1945, "- getting ready to go on a date\n"]
