[49, "#iremember my fav   lol\n"]
[267, "@_emmyhall_ lol but the  was quite catchy and i was singing it on the way home  :L\n"]
[341, "@aceconcierge That's my   lol\n"]
[367, "@ahmedzainal mr zainal r u suggesting i am not an independant lady lol neyo wrote that  all abt me....\n"]
[594, "camp is killing me uhhh lol oh well im getting something out of it\n"]
[1203, "@ class doing a  work! lol\n"]
[1265, "@abbeytintin omg i knowww!!! i loved her she was sooo  pretty! abbeyyyy why werent u at ?! i missed u  lol xxx\n"]
[1372, "@aniqa_x ha! yeah was alright! my sisters went shopping in london but i couldnt go cos i had !!  and i already missed last week lol\n"]
[1397, "\"@ArianeBarbs lol  thaankyouu dear. are you going to  in the Saturday btw? so\n"]
[1492, "@buboxxpanda: no lol i've been one since high\n"]
[1692, "@_iDANCE19 doing nething lol thinking about watching a  but I dont think i own ne i wanna c  lol\n"]
[1722, "@AaronKelker lol okay whatever!!! i still love the books and   vampires arent real though fyi\n"]
[1741, "@a_ashleigh yea its a great  but soo sad  ....watchin enough now til I fall asleep lol\n"]
[1788, "\"@aimecain denzel washington alooooone makes it that i need to see this  lol if i can find it online\n"]
[212, "@jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!\n"]
[269, "lol all these #robotpickuplines are hilarious\n"]
[276, "Tell those girls your clocking out lol\n"]
[764, "@jazzgotsoul @liveguy lol nooooooooo!!!\n"]
[952, "@richietachie i missed all..imma call u tomorrow..and reduce the number of Qs by tomorrow pls...i have a phobia for that lol seriously\n"]
[1315, "i cant get kristen srewart to add me lol she prob  thinks im a stalker lol\n"]
[1361, "aw damn somebody hit tiffany on nxt weeks episode or somethin?? Hellllllll no I'm def watchin nxt week lol\n"]
[1452, "i got sunburnt 2day....In Blackpool :O lol my little boy had fun tho....chucking water on me lol\n"]
[1502, "caffine headache now lol follow @peterfacinelli @gilbirmingham @billy_burke\n"]
[1630, "come on AppStore Approval. its been almost 18 hrs :p lol\n"]
[1773, "- damn watchin Spidey Man 3  ::tears:: it touched my soul lol\n"]
[1910, "finally!! lol but  piccckkk mee uppp!!!\n"]
