[15, "hmm. i really like the s on the summer ep. &lt;3 nsn\n"]
[75, "#musicmonday i see like no recommendations for Christian music so i recommend an Christian\n"]
[86, "&quot;....couse love is on it's way&quot;. i like that\n"]
[96, "&quot;Everybodys saying he's not coming home now.&quot;---  worst  my family couldve heard in a time like this...\n"]
[109, "&quot;I kn0o u seen alota things in ur life...got u feeln like this cnt b right. I wnt hurt u...im down 4 u baby..&quot; i l0ove dis ..*tear\n"]
[121, "\"&quot;just like the white winged dove\n"]
[147, "&quot;life's like a jump rope! up down. up down. up down. up down.&quot;--my newest  discovery which i love.\n"]
[157, "#iconfess i like john mayer s\n"]
[171, "\"#musicmonday  If you like Seal...and Love s\n"]
[189, "#zunetune is not like #followfriday - You can submit your awesome  recommendations at any time during the week.\n"]
[196, "&quot;but she wears short skirts I wear t shirts&quot;  I like that\n"]
[209, "&quot;It's you&quot; is such a gorgeous . But now I'm all like &quot;NEED SORRY SORRY REPACKAGED NOW!!!!&quot; and I know I can't afford it\n"]
[282, "@1withabullet Bless the broken road is a good  i like it. its now my fav. hehe\n"]
[300, "@106andpark i would have to say the boys that sing that &quot;stanky leg&quot;  because i like em and the first rapper is cute\n"]
[321, "\"@4everBrandy Hmm..lol like ya ..&quot;I TRIED&quot;!! Good nite Miss B u r the BEST STILL IN MY BOOK\n"]
[336, "@aawadalla08    i dont like thinkin about the past...makes me sad and miss being young. good  tho\n"]
[370, "@ALittleTooMuch and the name I think it would be one   But we have like 10 options D:!\n"]
[392, "\"@alexalltimelow i like the new   for some reason it makes me think of that  stacy's mom by fountains of wayne\n"]
[399, "\"@alejoplay I like it\n"]
[408, "\"@aliiiyeah I like his version of classic metal s\n"]
[409, "@aliize I totally love it too!  I like '' eh eh'' the most. Which  do you like the most?\n"]
[410, "@alina_popescu - that  does sound like summer\n"]
[430, "\"@almanaac i do not like that . however\n"]
[439, "@amandacao i really like that ! leighton meester has such a pretty voice\n"]
[486, "@anyuhh i like that s  hayyyy!\n"]
