[139, "&quot;Remembering Sunday&quot; -All time L0w. Suh-weet   fave at the mo hehe\n"]
[245, ";is about to play my  for the first time audience style\n"]
[388, "@AlanahC so the devil wears prada has a  called 'nickels is money too' and i think of u every time it plays\n"]
[700, "I don't understand why there are students who do not even devote a single time studying. it shows in their exams. walking .  tsk\n"]
[749, "It's  time at the gym with the fellas.  Hopefully I won't pull a hamstring\n"]
[769, "It's time for some . The point is not so much in staying in shape as it's in not getting hurt too much\n"]
[778, "\"just played  for the first time in over a year.. man\n"]
[865, "watched  in english  time for the bathing suit and sun tanning!\n"]
[888, "\"Very sad time of the year for me\n"]
[971, "now that the hockey &amp;  seasons are over its time to get serious about baseball...GO GIANTS!!!  (via @EricB5000) I second that!\n"]
[1121, "#iremember when I was in  I used to have free samosas and dint pay for them every single time  had fun foolling the poor shopkeeper!\n"]
[1134, "*yawn* time to get ready for\n"]
[1230, "@3BoysMommy oh my...I couldn't imagine high  these days... And think how trendy it will be by the time your little ones get there\n"]
[1273, "\"@adam_lewis she starts high  next year  oh how time has flown\n"]
[1284, "@AlexAllTimeLow cries. wont get there in time after\n"]
[1319, "@AlexAllTimeLow  finishes at 3pm &amp; public transport sucks here so by the time i get there the signing will be over  boo. JUNE 5!\n"]
[1734, "\"@3WildBoys @Cinecism Totally agree what a waste of time\n"]
[1787, "@AhmNoHere Thanks! Didn't watch the .Wasn't able to decide. :-/ Hope you had a great time with your friends!\n"]
[1993, "@bettramos i slept around that time too. it's coz they show my fave shows in a row after the 10 pm .\n"]
[2039, "@CarlisleRCullen yes but no time for\n"]
[2369, "I want it to be time for A's and Dodgers  now. Vin Mazzaro will help me feel better.\n"]
[2495, "no   that is next sunday if darren didnt mumble on the phone i would have gotten it the first time\n"]
[83, "idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall\n"]
[379, "- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.14). Only exception being 'Pi squared rule'.\n"]
[426, "feeling ok for the first time in a few days. thank you!\n"]
[478, "almost time to leave.\n"]
[616, "Bas one last time 2 update my status\n"]
[832, "cookies the first time\n"]
[857, "\" Didn't have time updating because was 2 busy enjoying this &quot;love making\n"]
[926, "\" every time i leave my room\n"]
[1178, "all this time i thought my electric blanky was turned on TURNS out it wasnt FAIL\n"]
[1200, "happy. spending time with mum\n"]
[1287, "hoping that the 3rd time is lucky and my Formal photos can up load on facebook without a crash.\n"]
[1404, "brooklyn bridge for the first time ever. yay life =D\n"]
[1455, "I guess i'll be home... while everyone is at BDay Bash having the time of their lives... with DRAKE! :'(\n"]
[1497, "breaking into pieces...waited all that time 4 what N.A.S.\n"]
[1527, "\" Can't sleep... Must be the time change\n"]
[1971, "icant stop smiling! Especially thinking of the time we ran to the train...\n"]
[1975, "ill deff be going up early on Tuesday will you? What time at?\n"]
