Left_Balance,Right_Balance,label
1,1,B
2,1,R
3,1,R
4,1,R
5,1,R
1,2,R
2,2,R
3,2,R
4,2,R
5,2,R
1,3,R
2,3,R
3,3,R
4,3,R
5,3,R
1,4,R
2,4,R
3,4,R
4,4,R
5,4,R
1,5,R
2,5,R
3,5,R
4,5,R
5,5,R
1,2,L
2,2,B
3,2,R
4,2,R
5,2,R
1,4,B
2,4,R
3,4,R
4,4,R
5,4,R
1,6,R
2,6,R
3,6,R
4,6,R
5,6,R
1,8,R
2,8,R
3,8,R
4,8,R
5,8,R
1,10,R
2,10,R
3,10,R
4,10,R
5,10,R
1,3,L
2,3,L
3,3,B
4,3,R
5,3,R
1,6,L
2,6,R
3,6,R
4,6,R
5,6,R
1,9,B
2,9,R
3,9,R
4,9,R
5,9,R
1,12,R
2,12,R
3,12,R
4,12,R
5,12,R
1,15,R
2,15,R
3,15,R
4,15,R
5,15,R
1,4,L
2,4,L
3,4,L
4,4,B
5,4,R
1,8,L
2,8,B
3,8,R
4,8,R
5,8,R
1,12,L
2,12,R
3,12,R
4,12,R
5,12,R
1,16,B
2,16,R
3,16,R
4,16,R
5,16,R
1,20,R
2,20,R
3,20,R
4,20,R
5,20,R
1,5,L
2,5,L
3,5,L
4,5,L
5,5,B
1,10,L
2,10,L
3,10,R
4,10,R
5,10,R
1,15,L
2,15,R
3,15,R
4,15,R
5,15,R
1,20,L
2,20,R
3,20,R
4,20,R
5,20,R
1,25,B
2,25,R
3,25,R
4,25,R
5,25,R
2,1,L
4,1,B
6,1,R
8,1,R
10,1,R
2,2,B
4,2,R
6,2,R
8,2,R
10,2,R
2,3,R
4,3,R
6,3,R
8,3,R
10,3,R
2,4,R
4,4,R
6,4,R
8,4,R
10,4,R
2,5,R
4,5,R
6,5,R
8,5,R
10,5,R
2,2,L
4,2,L
6,2,L
8,2,B
10,2,R
2,4,L
4,4,B
6,4,R
8,4,R
10,4,R
2,6,L
4,6,R
6,6,R
8,6,R
10,6,R
2,8,B
4,8,R
6,8,R
8,8,R
10,8,R
2,10,R
4,10,R
6,10,R
8,10,R
10,10,R
2,3,L
4,3,L
6,3,L
8,3,L
10,3,L
2,6,L
4,6,L
6,6,B
8,6,R
10,6,R
2,9,L
4,9,B
6,9,R
8,9,R
10,9,R
2,12,L
4,12,R
6,12,R
8,12,R
10,12,R
2,15,L
4,15,R
6,15,R
8,15,R
10,15,R
2,4,L
4,4,L
6,4,L
8,4,L
10,4,L
2,8,L
4,8,L
6,8,L
8,8,B
10,8,R
2,12,L
4,12,L
6,12,R
8,12,R
10,12,R
2,16,L
4,16,B
6,16,R
8,16,R
10,16,R
2,20,L
4,20,R
6,20,R
8,20,R
10,20,R
2,5,L
4,5,L
6,5,L
8,5,L
10,5,L
2,10,L
4,10,L
6,10,L
8,10,L
10,10,B
2,15,L
4,15,L
6,15,L
8,15,R
10,15,R
2,20,L
4,20,L
6,20,R
8,20,R
10,20,R
2,25,L
4,25,B
6,25,R
8,25,R
10,25,R
3,1,L
6,1,L
9,1,B
12,1,R
15,1,R
3,2,L
6,2,R
9,2,R
12,2,R
15,2,R
3,3,B
6,3,R
9,3,R
12,3,R
15,3,R
3,4,R
6,4,R
9,4,R
12,4,R
15,4,R
3,5,R
6,5,R
9,5,R
12,5,R
15,5,R
3,2,L
6,2,L
9,2,L
12,2,L
15,2,L
3,4,L
6,4,L
9,4,B
12,4,R
15,4,R
3,6,L
6,6,B
9,6,R
12,6,R
15,6,R
3,8,L
6,8,R
9,8,R
12,8,R
15,8,R
3,10,L
6,10,R
9,10,R
12,10,R
15,10,R
3,3,L
6,3,L
9,3,L
12,3,L
15,3,L
3,6,L
6,6,L
9,6,L
12,6,L
15,6,R
3,9,L
6,9,L
9,9,B
12,9,R
15,9,R
3,12,L
6,12,L
9,12,R
12,12,R
15,12,R
3,15,L
6,15,R
9,15,R
12,15,R
15,15,R
3,4,L
6,4,L
9,4,L
12,4,L
15,4,L
3,8,L
6,8,L
9,8,L
12,8,L
15,8,L
3,12,L
6,12,L
9,12,L
12,12,B
15,12,R
3,16,L
6,16,L
9,16,B
12,16,R
15,16,R
3,20,L
6,20,L
9,20,R
12,20,R
15,20,R
3,5,L
6,5,L
9,5,L
12,5,L
15,5,L
3,10,L
6,10,L
9,10,L
12,10,L
15,10,L
3,15,L
6,15,L
9,15,L
12,15,L
15,15,B
3,20,L
6,20,L
9,20,L
12,20,R
15,20,R
3,25,L
6,25,L
9,25,B
12,25,R
15,25,R
4,1,L
8,1,L
12,1,L
16,1,B
20,1,R
4,2,L
8,2,B
12,2,R
16,2,R
20,2,R
4,3,L
8,3,R
12,3,R
16,3,R
20,3,R
4,4,B
8,4,R
12,4,R
16,4,R
20,4,R
4,5,R
8,5,R
12,5,R
16,5,R
20,5,R
4,2,L
8,2,L
12,2,L
16,2,L
20,2,L
4,4,L
8,4,L
12,4,L
16,4,B
20,4,R
4,6,L
8,6,L
12,6,R
16,6,R
20,6,R
4,8,L
8,8,B
12,8,R
16,8,R
20,8,R
4,10,L
8,10,R
12,10,R
16,10,R
20,10,R
4,3,L
8,3,L
12,3,L
16,3,L
20,3,L
4,6,L
8,6,L
12,6,L
16,6,L
20,6,L
4,9,L
8,9,L
12,9,L
16,9,B
20,9,R
4,12,L
8,12,L
12,12,B
16,12,R
20,12,R
4,15,L
8,15,L
12,15,R
16,15,R
20,15,R
4,4,L
8,4,L
12,4,L
16,4,L
20,4,L
4,8,L
8,8,L
12,8,L
16,8,L
20,8,L
4,12,L
