objective,label,Subjective,label
-0.75,negative,0,negative
-0.75,negative,0,negative
-0.166666667,negative,0,negative
-0.155555556,negative,0,negative
-0.1,negative,0,negative
-0.1,negative,0,negative
-0.1,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0,negative
0,negative,0.066666667,negative
0,negative,0.1,neutral
0,negative,0.1,neutral
0,negative,0.1,neutral
0,negative,0.1,neutral
0,negative,0.125,positive
0,negative,0.15,positive
0,negative,0.2,positive
0,negative,0.2,positive
0,negative,0.234848485,positive
0,negative,0.25,positive
0,negative,0.25,positive
0.011538462,negative,0.288888889,positive
0.042857143,negative,0.3,positive
0.045454545,negative,0.3,positive
0.125,positive,0.3,positive
0.125,positive,0.3,positive
0.133333333,positive,0.334615385,positive
0.136363636,positive,0.4,positive
0.136363636,positive,0.4,positive
0.194444444,positive,0.4,positive
0.2,positive,0.4,positive
0.2,positive,0.416666667,positive
0.2,positive,0.417857143,positive
0.2,positive,0.422222222,positive
0.25,positive,0.433333333,positive
0.25,positive,0.454545455,positive
0.35,positive,0.454545455,positive
0.375,positive,0.5,positive
0.3875,positive,0.5,positive
0.3875,positive,0.5,positive
0.3875,positive,0.5125,positive
0.3875,positive,0.5125,positive
0.4,positive,0.5125,positive
0.4,positive,0.5125,positive
0.4,positive,0.575,positive
0.46875,positive,0.6,positive
0.5,positive,0.641666667,positive
0.5,positive,0.7,positive
0.5,positive,0.75,positive
0.5,positive,0.9,positive
0.5,positive,0.9,positive
0.5,positive,0.9,positive
0.5,positive,0.9,positive
0.5,positive,0.9,positive
0.5,positive,0.9,positive
0.6,positive,1,positive
0.6,positive,1,positive
0.8,positive,1,positive
0.8,positive,1,positive
1,positive,1,positive
